generation,engine,start_of_production,body_type,acceleration_0-62mph,maximum_speed,power_per_litre,engine_displacement,cylinder_bore,piston_stroke,kerb_weight,fuel_tank_capacity,length,width,height,wheelbase,drive_wheel,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,WeighttoPower_kgperhp,WeighttoPower_hppertonne,weighttotorque_kgpernm,weighttotorque_nmpertonne,Power_HP,Power_RPM,torque_NM,torque_RPM
911 Targa (F),2.3 T (130 Hp),1972,Targa,,205,55.6,2340,84,70.4,1020,60,4147,1610,1320,2271,Rear wheel drive,,,1360,1342,,7.8,127.5,,,130,5600,,
911 Targa (F),2.3 E (165 Hp),1971,Targa,,220,70.5,2340,84,70.4,1020,60,4147,1610,1320,2271,Rear wheel drive,,,1360,1342,,6.2,161.8,,,165,6200,,
911 Targa (F),2.2 T (125 Hp),1970,Targa,,206,57,2193,84,66,1020,,4170,1625,1300,2268,Rear wheel drive,8.6,9,1374,1355,,8.2,122.5,5.8,173.5,125,5800,177,4200
911 Targa (F),2.0 T (110 Hp),1967,Targa,,200,55.2,1991,80,66,1085,,4163,1610,1320,2211,Rear wheel drive,8.6,9,1353,1321,,9.9,101.4,6.9,144.7,110,5800,157,4200
911 Targa (F),2.0 S (170 Hp),1967,Targa,,230,85.4,1991,80,66,1070,,4200,1610,1320,2268,Rear wheel drive,9.9,9,1374,1355,,6.3,158.9,5.3,188.8,170,6800,202,5500
911 Targa (F),2.0 S (160 Hp),1967,Targa,,225,80.4,1991,80,66,1030,62,4163,1610,1320,2211,Rear wheel drive,9.8,9,1367,1335,,6.4,155.3,5.8,172.8,160,6600,178,5200
911 Targa (F),2.0 L (130 Hp),1967,Targa,,,65.3,1991,80,66,1085,,4163,1610,1320,2211,Rear wheel drive,,9,1337,1317,,8.3,119.8,6.2,160.4,130,6100,174,4200
911 Targa (F),2.0 E (140 Hp),1968,Targa,,215,70.3,1991,80,66,1060,62,4200,1610,1320,2268,Rear wheel drive,9.1,9,1380,1360,,7.6,132.1,5.4,185.8,140,6500,197,4500
911 Coupe (F),Carrera RS 2.7 (210 Hp),1972,Coupe,6.3,240,78.2,2687,90,70.4,1075,,4147,1652,1320,2271,Rear wheel drive,8.5,10,1372,1394,,5.1,195.3,4.2,237.2,210,6300,255,5100
911 Coupe (F),2.3 T (140 Hp),1972,Coupe,,,59.8,2341,84,70.4,1061,62,4163,1610,1320,2271,Rear wheel drive,7.5,8,1360,1342,,7.6,132,5.4,184.7,140,5600,196,4000
911 Coupe (F),2.3 T (130 Hp),1972,Coupe,9.5,205,55.5,2341,84,70.4,1050,62,4147,1610,1320,2271,Rear wheel drive,7.5,9,1360,1342,,8.1,123.8,5.4,186.7,130,5600,196,4000
911 Coupe (F),2.3 S (190 Hp) Sportomatic,1972,Coupe,,,81.2,2341,84,70.4,,62,4147,1610,1320,2271,Rear wheel drive,8.5,8,1372,1354,,,,,,190,6500,209,5200
911 Coupe (F),2.3 S (190 Hp),1972,Coupe,7,230,81.2,2341,84,70.4,1075,62,4147,1610,1320,2271,Rear wheel drive,8.5,8,1372,1354,,5.7,176.7,5.1,194.4,190,6500,209,5200
911 Coupe (F),2.3 E (165 Hp) Sportomatic,1972,Coupe,7.9,220,70.5,2341,84,70.4,1075,62,4163,1610,1320,2271,Rear wheel drive,8,9,1372,1354,,6.5,153.5,5.4,185.1,165,6200,199,4500
911 Coupe (F),2.3 E (165 Hp),1972,Coupe,7.9,220,70.5,2341,84,70.4,1075,62,4163,1610,1320,2271,Rear wheel drive,8,9,1372,1354,,6.5,153.5,5.4,185.1,165,6200,199,4500
911 Coupe (F),2.2 T (125 Hp),1970,Coupe,10,205,56.9,2195,84,66,1020,62,4163,1610,1320,2268,Rear wheel drive,8.6,9,1362,1343,,8.2,122.5,5.8,173.5,125,5800,177,4200
911 Coupe (F),2.2 S (180 Hp),1969,Coupe,7.5,230,82,2195,84,66,1020,62,4163,1610,1320,2268,Rear wheel drive,9.8,10,1374,1355,,5.7,176.5,5.1,195.1,180,6500,199,5200
911 Coupe (F),2.2 E (155 Hp),1969,Coupe,8,220,70.7,2193,84,66,1020,62,4163,1610,1320,2268,Rear wheel drive,9.1,9,1374,1355,,6.6,152,5.3,187.3,155,6200,191,4500
911 Coupe (F),2.0 T (110 Hp),1968,Coupe,,200,55.2,1991,80,66,1020,62,4163,1610,1320,2268,Rear wheel drive,8.6,9,1362,1343,,9.3,107.8,5.8,173.5,110,5800,177,4200
911 Coupe (F),2.0 S (170 Hp),1969,Coupe,,230,85.4,1991,80,66,1070,62,4200,1610,1320,2268,Rear wheel drive,9.9,9,1374,1355,,6.3,158.9,5.3,188.8,170,6800,202,5500
911 Coupe (F),2.0 S (160 Hp),1967,Coupe,,,80.4,1991,80,66,1075,,4163,1610,1320,2211,Rear wheel drive,,,1337,1317,,6.7,148.8,6,166.5,160,6600,179,5200
911 Coupe (F),2.0 L (130 Hp),1965,Coupe,,,65.3,1991,80,66,1085,,4163,1610,1320,2211,Rear wheel drive,,,1337,1317,,8.3,119.8,6.2,160.4,130,6100,174,4200
911 Coupe (F),2.0 E (140 Hp),1968,Coupe,,215,70.3,1991,80,66,1020,62,4200,1610,1320,2268,Rear wheel drive,9.1,9,1364,1345,,7.3,137.3,5.2,193.1,140,6500,197,4500
911 Coupe (F),2.0 (130 Hp),1964,Coupe,,210,65.3,1991,80,66,1080,62,4163,1610,1320,2211,Rear wheel drive,9,9,1337,1317,,8.3,120.4,6.2,162,130,6100,175,4200
